id;asignatura;tipo;pregunta;opciones;respuesta_correcta;extra
I029;Ingles;escribir;Write the country: New Zealand;;New Zealand;Pista: Oceania
I030;Ingles;escribir;Write a fruit in English;;Apple;Pista: Puede ser roja _  verde o amarilla
I031;Ingles;test;Choose the correct spelling;Her|Herr|Hir;Her;Pista: posesivo de ella
I032;Ingles;test;Choose the correct possessive: ___ book (for a boy);His|Her|Our;His;
I033;Ingles;ordenar;Order the words to make a sentence;We|like|bananas;We|like|bananas;
I034;Ingles;escribir;Write another fruit in English;;Banana;Pista: Amarillo por fuera _  blanco por dentro
I035;Ingles;test;Choose the correct spelling;Spainn|Spain|Spane;Spain;Pista: pais en Europa
I036;Ingles;ordenar;Order the words to make a sentence;We|like|mango;We|like|mango;
I037;Ingles;escribir;Write the country: Poland;;Poland;Pista: Europa
I038;Ingles;arrastrar;Drag the countries to the correct continent;Canada|Spain|India;America|Europe|Asia;Pista: continente
I039;Ingles;escribir;Write the country: Brazil;;Brazil;Pista: America del Sur
I040;Ingles;test;Which fruit is yellow?;Banana|Apple|Grape;Banana;
I041;Ingles;test;Choose the correct spelling;Our|Ourr|Or;Our;Pista: posesivo de nosotros
I042;Ingles;ordenar;Order the words to make a sentence;She|likes|apple;She|likes|apple;
I043;Ingles;test;Choose the correct spelling;Strawberry|Strawbery|Strawberri;Strawberry;Pista: fruta roja
I044;Ingles;test;Which fruit is green?;Pear|Banana|Strawberry;Pear;
I045;Ingles;ordenar;Order the sentence: I / like / mango;I|like|mango;I|like|mango;Pista: sujeto-verbo-objeto
I046;Ingles;test;On which continent is Mexico located?;North America|South America|Africa;South America;
I047;Ingles;test;Which word is correct? His/Her/Our/Their;His|Her|Our|Their;Our;Pista: grupo con nosotros
I048;Ingles;ordenar;Order the sentence: I / like / apple;I|like|apple;I|like|apple;Pista: sujeto-verbo-objeto
I049;Ingles;test;On which continent is China located?;North America|Europe|Asia;Asia;
I050;Ingles;test;On which continent is India located?;North America|Asia|Africa;Asia;
I051;Ingles;escribir;Write the country: Mexico;;Mexico;Pista: America
I052;Ingles;verdadero_falso;His is used for a boy;Verdadero|Falso;VERDADERO;
I053;Ingles;test;Choose the correct spelling;Those|Thos|Thoose;Those;Pista: lejos del hablante
I054;Ingles;escribir;Write another country in English;;Canada;Pista: Una hoja de arce en la bandera
I055;Ingles;test;Choose the correct spelling;That|Thaat|Tat;That;Pista: singular lejos del hablante
I056;Ingles;ordenar;Order the sentence: I / like / banana;I|like|banana;I|like|banana;Pista: sujeto-verbo-objeto
I057;Ingles;test;Which one is a fruit?;Apple|Chair|Table;Apple;
I058;Ingles;test;Choose the correct possessive: ___ toys (for them);Their|Our|Her;Their;
I059;Ingles;arrastrar;Match the country with the fruit;Banana|Apple|Orange;Brazil|USA|Spain;
I060;Ingles;ordenar;Order the words to make a sentence;He|likes|apple;He|likes|apple;He likes apple
I061;Ingles;escribir;Write the country: China;;China;Pista: Asia
I062;Ingles;test;Choose the correct spelling;Oranje|Orange|Oranj;Orange;Pista: fruta citrica
I063;Ingles;test;Which country is located in Asia?;China|USA|Canada;China;
I064;Ingles;arrastrar;Drag the words to the correct group;Apple|Banana|Chair;Fruit|Fruit|Object;
I065;Ingles;escribir;Write the country: Canada;;Canada;Pista: America del Norte
I066;Ingles;test;On which continent is New Zealand located?;Asia|Europe|Oceania;Oceania;
I067;Ingles;test;Which word has the sound "ay"?;Play|Rain|Book;Play;
I068;Ingles;escribir;Write the country: India;;India;Pista: Asia
I069;Ingles;test;Choose the correct spelling;Banana|Bannana|Bananna;Banana;Pista: fruta amarilla
I070;Ingles;arrastrar;Match the fruit with the country;Mango|Orange|Banana;India|Spain|Brazil;Pista: fruta tipica
I071;Ingles;ordenar;Order the sentence;These|are|apples;These|are|apples;
I072;Ingles;ordenar;Order the words to make a sentence;She|likes|banana;She|likes|banana;
I073;Ingles;test;Which word has the sound "ai"?;Rain|Play|Toy;Rain;
I074;Ingles;verdadero_falso;Chair is a fruit;Verdadero|Falso;FALSO;
I075;Ingles;ordenar;Order the sentence: They / like / mango;They|like|mango;They|like|mango;Pista: sujeto-verbo-objeto
I076;Ingles;verdadero_falso;Those is used for things near;Verdadero|Falso;FALSO;
I077;Ingles;ordenar;Order the sentence: They / like / apples;They|like|apples;They|like|apples;Pista: sujeto-verbo-objeto
I078;Ingles;test;Which one is a fruit?;Orange|Pen|Bag;Orange;
I079;Ingles;verdadero_falso;Apple is a fruit;Verdadero|Falso;VERDADERO;
I080;Ingles;test;Choose the correct word: ___ are apples (near);These|Those;These;
I081;Ingles;test;Which fruit is red?;Apple|Lemon|Pear;Apple;
I082;Ingles;ordenar;Order the sentence: They / like / banana;They|like|banana;They|like|banana;Pista: sujeto-verbo-objeto
I083;Ingles;test;Which word is NOT a fruit?;Chair|Apple|Banana;Chair;
I084;Ingles;test;Choose the correct word: ___ are bananas (far);Those|These;Those;
I085;Ingles;test;On which continent is Canada located?;North America|Europe|Africa;North America;
I086;Ingles;ordenar;Order the sentence;Those|are|bananas;Those|are|bananas;
I087;Ingles;test;Choose the correct spelling;Say|Sai|Sayy;Say;Pista: verbo: decir
I088;Ingles;test;Which country is located in Europe?;USA|UK|India;UK;
I089;Ingles;ordenar;Order the words to make a sentence;We|like|fruits;We|like|fruits;Pista: sujeto-verbo-objeto
I090;Ingles;arrastrar;Match the fruit with the country;Apple|Mango|Banana;USA|India|Brazil;Pista: fruta tipica
I091;Ingles;test;Choose the correct spelling;Appple|Apple|Aple;Apple;Pista: fruta roja
I092;Ingles;test;On which continent is Poland located?;North America|Europe|Asia;Europe;
I093;Ingles;test;Choose the correct spelling;Chine|China|Chinna;China;Pista: pais en Asia
I094;Ingles;test;Choose the correct spelling;USA|US|U.S.A.;USA;Pista: America del Norte
I095;Ingles;test;Choose the correct spelling;Mango|Manggo|Manngo;Mango;Pista: fruta tropical
I096;Ingles;escribir;Write the country: Spain;;Spain;Pista: Europa
I097;Ingles;test;On which continent is Spain located?;North America|Europe|Asia;Europe;
I098;Ingles;escribir;Write a country in English;;Spain;Pista: Donde vives
I099;Ingles;test;Choose the correct spelling;Their|Thier|There;Their;Pista: posesivo de ellos
I100;Ingles;test;Which country is located in America?;Spain|Mexico|China;Spain;
I101;Ingles;arrastrar;Match country with fruit;Brazil|USA|Spain;Banana|Apple|Orange;Pista: fruta tipica
I102;Ingles;test;Which one is a fruit?;Banana|Car|Book;Banana;
I103;Ingles;ordenar;Order the words to make a sentence;He|likes|mango;He|likes|mango;
I104;Ingles;test;Choose the correct possessive: ___ banana (for a boy);His|Her|Their;His;
I105;Ingles;test;Choose the correct spelling;Raain|Rain|Raine;Rain;"Pista: contiene ""ai"""
I106;Ingles;test;Choose the correct spelling;Day|Dai|Daay;Day;Pista: unidad de tiempo
I107;Ingles;test;Choose the correct spelling;Rainbow|Raiinbow|Rainbaw;Rainbow;Pista: arco en el cielo
I108;Ingles;ordenar;Order the words to make a sentence;He|likes|banana;He|likes|banana;
I109;Ingles;arrastrar;Match the fruit with the country;Orange|Mango|Apple;Spain|India|USA;
I110;Ingles;test;Choose the correct spelling;These|Thes|Thees;These;Pista: cerca del hablante
I111;Ingles;test;Choose the correct spelling;Cannda|Canada|Caneda;Canada;Pista: Norteamerica
L001;Lengua;ordenar;Ordena palabras para caligrama;Palabra1|Palabra2|Palabra3;Palabra1|Palabra2|Palabra3;Pista: forma correcta
L002;Lengua;escribir;Escribe la familia de la flauta;;Viento;Pista: sopla aire
L003;Lengua;test;"Cual instrumento es de viento?;Flauta|Guitarra|Tambor;Flauta;Pista: sopla aire
L004;Lengua;escribir;"Que hay que hacer para captar la atencion al recitar?;;Hablar claro;
L005;Lengua;test;"Por que se agrupan los instrumentos en familias?;Porque se tocan igual|Porque suenan parecido|Porque son grandes;Porque suenan parecido;
L006;Lengua;arrastrar;Clasifica textos;Poema|Noticia;Poesia|Informativo;
L007;Lengua;escribir;Escribe un instrumento de viento;;Flauta;Pista: sopla aire
L008;Lengua;verdadero_falso;La poesia no se puede dibujar;Verdadero|Falso;FALSO;
L009;Lengua;test;"Que palabra es del campo semantico de musica?;Tambor|Mesa|Silla;Tambor;
L010;Lengua;ordenar;Ordena un poema;Titulo|Versos|Rima;Titulo|Versos|Rima;
L011;Lengua;arrastrar;Empareja poemas y rimas;Lirico|epico|Narrativo;ABAB|AABB|ABC;Pista: patron correcto
L012;Lengua;arrastrar;Empareja instrumento y familia;Violin|Flauta|Tambor;Cuerda|Viento|Percusion;Pista: familia correcta
L013;Lengua;test;"Cual instrumento es de viento?;Saxofon|Guitarra|Tambor;Saxofon;Pista: sopla aire
L014;Lengua;escribir;Escribe parte de guitarra;;Cuerdas;Pista: se pulsan
L015;Lengua;escribir;"Como se llama tocar un poema en voz alta?;;Recitar;
L016;Lengua;verdadero_falso;Un poema siempre tiene rima;Verdadero|Falso;FALSO;
L017;Lengua;escribir;"Que palabra rima con cancion?;;Ilusion;
L018;Lengua;ordenar;Ordena estas partes de la guitarra;Clavijas|Cuerdas|Caja;Caja|Clavijas|Cuerdas;Pista: la caja resuena
L019;Lengua;verdadero_falso;El arpa es de percusion;Verdadero|Falso;FALSO;
L020;Lengua;test;"Que es un campo semantico?;Palabras relacionadas|Palabras que riman|Frases largas;Palabras relacionadas;
L021;Lengua;test;"Que tipos de instrumentos hay en una orquesta?;Cuerda|Viento|Percusion|Todas;Todas;
L022;Lengua;test;"Cual es un instrumento de viento?;Saxofon|Guitarra|Tambor;Saxofon;Pista: sopla aire
L023;Lengua;escribir;"Como se llama la familia del arpa?;;Cuerda;Pista: empieza por C
L024;Lengua;test;"Que sirve para captar la atencion?;Hablar claro|Susurrar|No mirar;Hablar claro;
L025;Lengua;arrastrar;Partes de la guitarra;Cuerdas|Clavijas|Caja de resonancia;Sonido|Afinar|Resonancia;
L026;Lengua;arrastrar;Instrumento y sonido;Guitarra|Flauta|Tambor;Cuerdas|Aire|Golpes;
L027;Lengua;escribir;Escribe una parte de la guitarra;;Caja;Pista: resuena al tocar
L028;Lengua;ordenar;Ordena los pasos para planificar un poema;Aprender de memoria|Hablar claro|Escribir;Escribir|Aprender de memoria|Hablar claro;Pista: empieza escribiendo
L029;Lengua;escribir;Escribe un instrumento de cuerda;;Arpa;Pista: se toca con dedos
L030;Lengua;escribir;Escribe un instrumento de percusion atipico;;Xilofono;Pista: se golpea con baquetas
L031;Lengua;escribir;Escribe un instrumento de viento;;Flauta;Pista: soplar aire
L032;Lengua;ordenar;Ordena los pasos de planificacion de poema;Idea|Escribir|Aprender;Idea|Escribir|Aprender;Pista: empieza con idea
L033;Lengua;ordenar;Ordena pasos para captar atencion;Gestos|Voz|Mirada;Mirada|Gestos|Voz;Pista: primero observa
L034;Lengua;test;"Que instrumento se toca pulsando cuerdas?;Guitarra|Flauta|Tambor;Guitarra;Pista: pulsas con los dedos
L035;Lengua;arrastrar;Relaciona familias de instrumentos;Violin|Flauta|Tambor;Cuerda|Viento|Percusion;Pista: observa sonido
L036;Lengua;test;"Que instrumento pertenece a viento?;Flauta|Guitarra|Tambor;Flauta;Pista: soplar aire
L037;Lengua;ordenar;Ordena partes de la guitarra;Caja|Cuerdas|Clavijas;Caja|Cuerdas|Clavijas;
L038;Lengua;escribir;Escribe una parte de guitarra;;Cuerdas;Pista: se pulsan con dedos
L039;Lengua;escribir;"Como se llama el texto que usa versos?;;Poema;
L040;Lengua;verdadero_falso;Un verso puede ser corto;Verdadero|Falso;VERDADERO;
L041;Lengua;test;"Cual instrumento es de percusion?;Tambor|Flauta|Guitarra;Tambor;Pista: golpea para sonar
L042;Lengua;test;"Cual instrumento pertenece a viento?;Saxofon|Guitarra|Tambor;Saxofon;Pista: sopla aire
L043;Lengua;ordenar;Ordena palabras para caligrama;PalabraA|PalabraB|PalabraC;PalabraA|PalabraB|PalabraC;Pista: mantiene forma
L044;Lengua;test;"Que instrumento tiene caja de resonancia?;Guitarra|Flauta|Trompeta;Guitarra;
L045;Lengua;test;"Que sirve para hablar claro?;Voz alta|Taparse la boca|Mirar al suelo;Voz alta;
L046;Lengua;test;"Que es un verso?;Cada linea del poema|El titulo|La rima;Cada linea del poema;
L047;Lengua;arrastrar;Relaciona poema y partes;Titulo|Verso|Rima;Linea|Texto|Sonido;Pista: identifica cada parte
L048;Lengua;escribir;Escribe instrumento de cuerda;;Viola;Pista: arco necesario
L049;Lengua;escribir;Escribe parte guitarra;;Cuerdas;Pista: se pulsa con los dedos
L050;Lengua;test;"Que instrumento es de cuerda?;Violin|Flauta|Tambor;Violin;
L051;Lengua;escribir;Escribe la familia del violin;;Cuerda;Pista: pertenece a instrumentos de cuerda
L052;Lengua;test;"Que se aprende al memorizar un poema?;Recitar mejor|Leer mas lento|Olvidar;Recitar mejor;
L053;Lengua;verdadero_falso;Los poemas pueden tener versos cortos;Verdadero|Falso;VERDADERO;
L054;Lengua;escribir;"Que instrumento se parece al arpa?;;Guitarra;
L055;Lengua;ordenar;Ordena las partes de un poema;Verso|Rima|Titulo;Titulo|Verso|Rima;Pista: primero va el titulo
L056;Lengua;test;"Que es un caligrama?;Poema con dibujo|Cuento|Cancion|Teatro;Poema con dibujo;
L057;Lengua;test;"Que parte NO es de la guitarra?;Cuerdas|Clavijas|Caja|Boquilla;Boquilla;
L058;Lengua;ordenar;Ordena como preparar un poema;Pensar el tema|Hablar claro|Aprenderlo de memoria;Pensar el tema|Aprenderlo de memoria|Hablar claro;
L059;Lengua;escribir;"Como se llaman las lineas de un poema?;;Versos;
L060;Lengua;test;"Que instrumento se toca con las manos?;Guitarra|Flauta|Tambor;Guitarra;Pista: dedos sobre cuerdas
L061;Lengua;arrastrar;Relaciona concepto y definicion;Verso|Poema|Rima;Linea|Texto|Sonido;Pista: cada concepto con su definicion
L062;Lengua;verdadero_falso;Los poemas se pueden recitar;Verdadero|Falso;VERDADERO;
L063;Lengua;arrastrar;Campo semantico de musica;Guitarra|Verso|Tambor;Instrumento|Poesia|Instrumento;
L064;Lengua;ordenar;Ordena pasos para captar atencion;Leer claro|Gestos|Voz;Leer claro|Gestos|Voz;Pista: piensa como captar atencion
L065;Lengua;test;"Que instrumento se toca soplando?;Flauta|Guitarra|Tambor;Flauta;Pista: aire necesario
L066;Lengua;test;"Que instrumento NO es de cuerda?;Violin|Guitarra|Arpa|Flauta;Flauta;
L067;Lengua;escribir;Escribe un instrumento de percusion;;Tambor;Pista: se golpea
L068;Lengua;test;"Que instrumento es de viento atipico?;Flauta|Clarinete|Armonica|Violin;Armonica;
L069;Lengua;test;"Que instrumento se pulsa?;Guitarra|Violin|Flauta;Guitarra;
L070;Lengua;verdadero_falso;El arpa y la guitarra tienen cuerdas;Verdadero|Falso;VERDADERO;
L071;Lengua;test;"Que instrumento pertenece a cuerda pulsada?;Guitarra|Flauta|Tambor;Guitarra;Pista: se toca pulsando
L072;Lengua;test;"Cual instrumento pertenece a la familia de viento?;Flauta|Violin|Tambor;Flauta;Pista: soplas aire
L073;Lengua;test;"Cual es la parte de la guitarra que sirve para afinar?;Clavijas|Cuerdas|Caja;Clavijas;Pista: es donde giras para ajustar
L074;Lengua;verdadero_falso;Un caligrama es solo un dibujo;Verdadero|Falso;FALSO;
L075;Lengua;arrastrar;Empareja familia con instrumento;Cuerda|Viento|Percusion;Violin|Flauta|Tambor;Pista: revisa el sonido
L076;Lengua;ordenar;Ordena pasos para memorizar un poema;Leer|Repetir|Recordar;Leer|Repetir|Recordar;Pista: repite para aprender
L077;Lengua;escribir;Escribe un instrumento de cuerda;;Viola;Pista: se toca con arco
L078;Lengua;ordenar;Ordena pasos para escribir poema;Idea|Escribir|Aprender;Idea|Escribir|Aprender;Pista: empieza con idea
L079;Lengua;escribir;Escribe parte guitarra;;Caja;Pista: resuena al tocar
L080;Lengua;test;"Cual es la funcion de un verso?;Expresar|Contar|Golpear;Expresar;Pista: linea con sentido
L081;Lengua;test;"Que hace captar la atencion?;Mirar|Hablar|Escuchar;Hablar;Pista: como te diriges al publico
L082;Lengua;test;"Que es una orquesta?;Grupo de musicos|Un instrumento|Un poema;Grupo de musicos;
L083;Lengua;arrastrar;Poema y partes;Titulo|Verso;Nombre|Linea;
L084;Lengua;escribir;Escribe un instrumento de cuerda pulsada;;Guitarra;Pista: se toca con los dedos
L085;Lengua;ordenar;Ordena pasos para escribir poema;Idea|Escribir|Leer;Idea|Escribir|Leer;Pista: empieza con idea
L086;Lengua;test;"Cual es la caracteristica de un caligrama?;Forma de dibujo|Verso|Rima;Forma de dibujo;Pista: se ve como imagen
L087;Lengua;escribir;Escribe un ejemplo de campo semantico;;Musica;Pista: palabras relacionadas
L088;Lengua;escribir;Escribe instrumento de percusion;;Xilofono;Pista: golpeando con baquetas
L089;Lengua;ordenar;Ordena versos de caligrama;VersoA|VersoB|VersoC;VersoA|VersoB|VersoC;Pista: sigue el orden visual
L090;Lengua;test;"Que familia es el violin?;Cuerda|Viento|Percusion;Cuerda;
L091;Lengua;arrastrar;Empareja cada poema con su tipo;Poema lirico|Poema epico;Lirico|epico;Pista: piensa en la intencion del poema
L092;Lengua;arrastrar;Relaciona arpa con instrumentos similares;Arpa|Flauta|Tambor;Cuerda|Viento|Percusion;Pista: compara familias
L093;Lengua;test;"Cual es un instrumento de percusion?;Tambor|Flauta|Violin;Tambor;Pista: se golpea
L094;Lengua;test;"Que es rima asonante?;Repite vocales|Repite consonantes|No rima;Repite vocales;
L095;Lengua;test;"Cual es la caracteristica de un poema?;Rima|Verso|Estrofa;Rima;Pista: final similar
L096;Lengua;escribir;"Que palabra pertenece al campo semantico de poema?;;Verso;
L097;Lengua;test;"Cual es un instrumento de cuerda pulsada?;Guitarra|Trompeta|Tambor;Guitarra;Pista: se pulsa con los dedos
L098;Lengua;arrastrar;Relaciona poemas con su contenido;Lirico|epico|Narrativo;Sentimientos|Historia|Relato;Pista: usa el tipo de poema
L099;Lengua;test;"Que instrumento pertenece a cuerda?;Guitarra|Flauta|Tambor;Guitarra;Pista: se pulsa
L100;Lengua;ordenar;Ordena versos de poema corto;Verso1|Verso2|Verso3;Verso1|Verso2|Verso3;Pista: seguir orden
L101;Lengua;test;"Cual es la parte de un poema que rima?;Verso|Estrofa|Titulo;Verso;Pista: es la linea que coincide al final
L102;Lengua;verdadero_falso;Los instrumentos se agrupan por familias porque suenan parecido;Verdadero|Falso;VERDADERO;
L103;Lengua;arrastrar;Empareja instrumento con familia;Oboe|Tambor|Guitarra;Viento|Percusion|Cuerda;Pista: identifica sonido
L104;Lengua;test;"Que es un poema?;Texto con versos|Noticia|Receta|Carta;Texto con versos;
L105;Lengua;ordenar;Ordena los versos para formar un poema;Verso1|Verso2|Verso3;Verso1|Verso2|Verso3;Pista: sigue el orden de lectura
L106;Lengua;arrastrar;Clasifica instrumentos;Violin|Flauta|Tambor;Cuerda|Viento|Percusion;
L107;Lengua;test;"Que tipo de rima repite todos los sonidos?;Consonante|Asonante|Libre;Consonante;
L108;Lengua;arrastrar;Empareja partes de poema y funcion;Titulo|Verso|Rima;Nombre|Linea|Sonido;Pista: cada parte con su funcion
L109;Lengua;test;"Que instrumento es de cuerda pulsada?;Guitarra|Violin|Flauta|Tambor;Guitarra;
L110;Lengua;verdadero_falso;La guitarra es de cuerda pulsada;Verdadero|Falso;VERDADERO;
L111;Lengua;escribir;Escribe un poema de ejemplo;;Mi poema;Pista: corta frase
M001;Matematicas;ordenar;Ordena de menor a mayor 508 580 550;508|550|580;508|550|580;
M002;Matematicas;test;"Cual es la centena mas proxima a 549?;500|600;500;
M003;Matematicas;escribir;Descompon el numero 468 en centenas decenas y unidades;;4C 6D 8U;Ejemplo: 123 -> 1C 2D 3U
M004;Matematicas;test;"Cuantas centenas tiene el numero 405?;4|40|45;4;
M005;Matematicas;test;"Que numero es mayor que 910?;908|915|905;915;
M006;Matematicas;test;"Cual es la decena del numero 381?;80|8|70;80;
M007;Matematicas;verdadero_falso;El numero 399 se aproxima a 400;VERDADERO|FALSO;VERDADERO;
M008;Matematicas;escribir;"Cuantas decenas hay en 590?;;59;
M009;Matematicas;test;"Cual numero tiene 3 unidades?;703|730|370;703;
M010;Matematicas;arrastrar;Relaciona numero y descomposicion;342|580|409;3C 4D 2U|5C 8D 0U|4C 0D 9U;Pista: C es centena _  D es decena _  U es unidades
M011;Matematicas;test;"Que numero es impar?;812|905|640;905;
M012;Matematicas;test;"Que numero se forma con las cifras 2C_ 5D y 8U?;258|285|825;258;Ejemplo: 123 -> 1C 2D 3U
M013;Matematicas;escribir;Suma 3 decenas a 6 centenas;;630;Pista suma tres decenas
M014;Matematicas;test;"Cual numero esta formado por 3 centenas _  5 decenas y 0 unidades?;350|305|530;350;
M015;Matematicas;verdadero_falso;En 906 la cifra de las decenas es cero;VERDADERO|FALSO;VERDADERO;
M016;Matematicas;test;"Cual es mayor?;908|890;908;
M017;Matematicas;escribir;Completa: 6 _ 10 _ ? _ 18;;14;
M018;Matematicas;escribir;Dado el numero 512. Escribe el posterior;;513;
M019;Matematicas;escribir;Suma una decena a 930;;940;
M020;Matematicas;test;"Cual de estos numeros tiene 5 decenas?;452|507|405;452;
M021;Matematicas;test;"Cual es la centena mas proxima a 599?;500|600;600;
M022;Matematicas;test;"Que numero NO tiene centenas?;87|405|612;87;
M023;Matematicas;ordenar;Ordena los numeros formados con 4 0 y 2;204|240|402|420;204|240|402|420;
M024;Matematicas;test;"Cual es el valor de la centena en 742?;700|70|7;700;
M025;Matematicas;test;"Cual es la centena del numero 684?;600|80|6;600;
M026;Matematicas;escribir;Escribe el numero anterior a 700;;699;
M027;Matematicas;escribir;Escribe tres numeros cuya centena mas proxima sea 700;;680 710 699;Pista: Hay muchos
M028;Matematicas;escribir;Completa: 450 _ 460 _ ? _ 480;;470;
M029;Matematicas;test;"Que numero esta entre 699 y 701?;698|700|702;700;
M030;Matematicas;escribir;Escribe el numero con 6 centenas y 1 unidad;;601;Pista: No tiene decenas
M031;Matematicas;escribir;"Que numero tiene 2 centenas _  0 decenas y 4 unidades?;;204;
M032;Matematicas;test;"Cuantas centenas tiene el numero 900?;9|90|0;9;
M033;Matematicas;escribir;Descompon 905 en centenas _  decenas y unidades;;9C 0D 5U;Ejemplo: 123 -> 1C 2D 3U
M034;Matematicas;escribir;"Cual es la centena del numero 381?;;3;
M035;Matematicas;test;"Cual esta mas cerca de 600?;589|612;589;
M036;Matematicas;escribir;Aproxima 8 a la decena mas cercana;;10;
M037;Matematicas;escribir;"Que numero tiene 1 decena _  2 unidades y 9 centenas?;;912;
M038;Matematicas;ordenar;Ordena de mayor a menor 402 420 399;420|402|399;420|402|399;
M039;Matematicas;escribir;Suma 10 a 480;;490;
M040;Matematicas;test;"Cual de estos numeros tiene 8 decenas?;182|208|820;182;
M041;Matematicas;test;"Cual es la cifra de las unidades en 468?;8|6|4;8;
M042;Matematicas;test;"Cual es la centena mas proxima a 650?;600|700;700;
M043;Matematicas;escribir;Escribe en numero: cuatrocientos ochenta;;480;
M044;Matematicas;test;"Que numero tiene 2 unidades?;513|520|502;502;
M045;Matematicas;escribir;"Que numero tiene 3 centenas y 2 unidades?;;302;
M046;Matematicas;escribir;"Que numero tiene 1 decena _  6 centenas y 5 unidades?;;615;
M047;Matematicas;verdadero_falso;Al aproximar 650 a la centena mas proxima se obtiene 700;VERDADERO|FALSO;VERDADERO;
M048;Matematicas;test;"Que numero tiene 0 decenas?;405|450|490;405;
M049;Matematicas;verdadero_falso;El numero 480 es mayor que 500;VERDADERO|FALSO;FALSO;
M050;Matematicas;test;"Cuantas centenas tiene el numero 782?;7|78|70;7;
M051;Matematicas;verdadero_falso;El numero 875 se aproxima a 900;VERDADERO|FALSO;VERDADERO;
M052;Matematicas;test;"Cual es la centena mas proxima a 489?;400|500;500;
M053;Matematicas;test;"Cual es la centena mas proxima a 751?;700|800;800;
M054;Matematicas;test;"Cual es la unidad del numero 381?;1|3|8;1;
M055;Matematicas;escribir;Completa: 200 _ 300 _ ? _ 500;;400;
M056;Matematicas;arrastrar;Relaciona numero con centenas decenas y unidades;681|740|905;6C 8D 1U|7C 4D|9C 5U;Ejemplo: 123 -> 1C 2D 3U
M057;Matematicas;ordenar;Ordena esta serie restando 25 cada vez. Empieza por el mayor;600|575|550|525;600|575|550|525;Pista resta igual
M058;Matematicas;test;"Cual es el ordinal de 9?;noveno|nueve|noventa;noveno;
M059;Matematicas;arrastrar;Relaciona numero y descomposicion;615|980|703;6C 1D 5U|9C 8D 0U|7C 0D 3U;Pista: C es centena _  D es decena _  U es unidades
M060;Matematicas;escribir;Suma una decena a 540;;550;
M061;Matematicas;arrastrar;Relaciona numero y texto;700|800|900;setecientos|ochocientos|novecientos;
M062;Matematicas;test;"Cual es el numero anterior a 700?;699|701|690;699;
M063;Matematicas;test;"Cual numero tiene 8 decenas?;180|108|801;180;
M064;Matematicas;escribir;"Cuantas centenas tiene 890?;;8;
M065;Matematicas;escribir;"Que numero tiene 1 centena _  0 decenas y 6 unidades?;;106;
M066;Matematicas;escribir;Aproxima 678 a la centena mas cercana;;700;
M067;Matematicas;ordenar;Ordena de mayor a menor;720|705|699;720|705|699;
